País,Provincia,Región/Zona,Localidad/Barrio,Nombre del Emprendimiento,Instagram,Sitio Web / Contacto,Linktr,Google Maps,Telefono,Notas extra,Tipo Principal,Tipos Secundarios,Modalidad,Calidad / Producción,Productos,⚠️ Revisar,Certificaciones / Asociaciones
Argentina,Buenos Aires,Zona Norte,San Fernando,Germinar ONG,http://instagram.com/germinarong/,,,,,,Abastecedor,,Retiro y Entrega,Sin agroquímicos,"Verduras, Frutas",⚠️ ONG - evaluar si corresponde incluir,ONG
Argentina,Buenos Aires,Zona Norte,San Isidro y Alrededores,La Proveeduría Orgánica,https://www.instagram.com/laproveeduriaorganica/,,,,11 6008-7347,,Abastecedor,,Solo Entrega,"Sin agroquímicos, Orgánico","Verduras, Frutas, Elaborados",,
Argentina,Buenos Aires,Zona Norte,Tigre,Alas de Tigre,https://www.instagram.com/alas_de_tigre/?hl=es-la,https://alasdetigre.wixsite.com/alasdetigre,,,,,Abastecedor,Productor,Retiro y Entrega,Sin agroquímicos,"Verduras, Frutas",,
Argentina,Buenos Aires,Zona Norte,"Tigre, San Fernando",Huerta Grande,https://www.instagram.com/huerta.grande/?hl=es-la,,,,1140457369,,Productor,,Retiro y Entrega,"Sin agroquímicos, Agroecológico","Verduras, Frutas",,
Argentina,Buenos Aires,Zona Norte,Tortuguitas,Medallon Vegetariano,https://www.instagram.com/medallonvegetariano/?hl=es-la,,,,11 3557 5142,,Abastecedor,,Retiro y Entrega,Sin agroquímicos,"Verduras, Frutas, Elaborados",,
Argentina,Buenos Aires,Zona Norte,"Vicente Lopez, San Isidro, Tigre, El Talar, San Fernando, Nordelta",Come bien BA,https://www.instagram.com/comebienba/?hl=es-la,,,,11 6558-1710,,Abastecedor,,Solo Entrega,Sin agroquímicos,"Verduras, Frutas, Elaborados",,
Argentina,Buenos Aires,Zona Norte,"Villa Adelina, Maschwitz",Caracoles y Hormigas,https://www.instagram.com/caracolesyhormigas/,,,,,,Abastecedor,,Retiro y Entrega,Sin agroquímicos,"Verduras, Frutas, Elaborados",,
Argentina,Buenos Aires,Zona Norte,Villa Ballester,Ayni Cocina,https://www.instagram.com/ayni_cocina/,,,,11 5322-7151,,Abastecedor,Restaurante,Retiro y Entrega,Sin agroquímicos,"Elaborados, Verduras, Frutas",,
Argentina,Buenos Aires,Zona Norte,Villa Martelli,La Isla Florida,instagram.com/laislaflorida/,,,,1161503097,,Abastecedor,,Retiro y Entrega,Sin agroquímicos,"Verduras, Frutas, Elaborados",⚠️ Revisar,
Argentina,Buenos Aires,Zona Norte,"Bella Vista, Muñiz, San Miguel, José C Paz",Almacén Ciruela,https://www.instagram.com/almacenciruela/,,,,,,Abastecedor,,Retiro y Entrega,Sin agroquímicos,"Verduras, Frutas, Elaborados",,
Argentina,Buenos Aires,Zona Norte,,De Bio Market,https://www.instagram.com/debiomarket/,,,,,,Abastecedor,,Retiro y Entrega,Sin agroquímicos,"Verduras, Frutas, Elaborados",⚠️ Revisar,
Argentina,Buenos Aires,Zona Norte,,Huerta la Anunciación,https://www.instagram.com/huertalaanunciacion/?hl=es-la,,,,,,Productor,,Retiro y Entrega,"Sin agroquímicos, Agroecológico","Verduras, Frutas",,
Argentina,Buenos Aires,Zona Norte,,Red Rizoma,https://www.instagram.com/redrizoma/,,,,,,Abastecedor,,Retiro y Entrega,Sin agroquímicos,"Verduras, Frutas, Elaborados",⚠️ Revisar,
Argentina,Buenos Aires,Zona Norte,,Nuestra Tierra Orgánicos,https://www.instagram.com/nuestratierraorganicos/,,,,,,Restaurante,Chef,Retiro y Entrega,"Sin agroquímicos, Agroecológico, Orgánico","Verduras, Frutas, Elaborados",,
Argentina,Buenos Aires,Zona Norte,,El Solaz,https://www.instagram.com/elsolaz/,,,,11 4417-2311,,Abastecedor,,Retiro y Entrega,Sin agroquímicos,"Verduras, Frutas, Elaborados",⚠️ Revisar,
Argentina,Buenos Aires,Zona Norte,,Monteverde,https://www.instagram.com/monteverdeverdu/?hl=es-la,,,,11 3424-5233,,Abastecedor,,Retiro y Entrega,"Sin agroquímicos, Sustentable","Verduras, Frutas, Elaborados",,
Argentina,Buenos Aires,Zona Norte,,Tierra Organicos,https://www.instagram.com/tierraorganicos/,,,,,,Abastecedor,Productor,Retiro y Entrega,"Sin agroquímicos, Agroecológico, Orgánico","Verduras, Frutas",,
Argentina,Buenos Aires,Zona Norte,,Red Orgánica,https://www.instagram.com/redorganica/,,,,,,Abastecedor,,Retiro y Entrega,"Sin agroquímicos, Orgánico","Verduras, Frutas, Elaborados",⚠️ Revisar,
Argentina,Buenos Aires,Zona Oeste,"Ramos Mejia, Ciudadela",MadreSol,https://www.instagram.com/madresol_organica/,,,,1139026360,,Abastecedor,,Solo Entrega,Sin agroquímicos,"Verduras, Frutas, Elaborados",,
Argentina,Buenos Aires,Zona Oeste,"Haedo, Ramos Mejía, Ciudadela, Villa Luzuriaga, San Justo, La Tablada, Tapiales, Morón, Casanova, Rafael Castillo, Castelar, Palomar, Caseros, Santos Lugares, Bella Vista, Hurlingam, Martín Coronado, Villa Udaondo, Parque Leloir, Ituzaingó, Merlo, Moreno, Fco Alvarez, Gral Rodriguez, Mariano Acosta, Marcos Paz, San Miguel, José c. Paz, Trujui, Quilmes, Berasategui, Avellaneda, Lanús",Mercado Transformador,https://www.instagram.com/mercadotransformador/?hl=es-la,,,,,,Abastecedor,,Solo Entrega,Sin agroquímicos,"Verduras, Frutas, Elaborados",,
Argentina,Buenos Aires,Zona Oeste,Morón,Morón Surco,https://www.instagram.com/moron.surco/,,,"Stevenson 2355, Castelar",011 2400-8507,Grupo WhatsApp: https://chat.whatsapp.com/DOa4Ak9uLZIE7pFiJAqIG4,Productor,Abastecedor,Retiro y Entrega,Sin agroquímicos,"Verduras, Frutas",,
Argentina,Buenos Aires,Zona Oeste,Ramos Mejia,Cultivarte Orgánico,https://www.instagram.com/cultivarte_organico/,,,,,,Abastecedor,Productor,Solo Entrega,"Sin agroquímicos, Agroecológico, Orgánico","Verduras, Frutas, Elaborados",,
Argentina,Buenos Aires,Zona Oeste,"San Justo, Ramos Mejía, Morón, Lomás del Mirador, Villa Luzuriaga, Haedo, Isidro Casanova",Orgánico MyM,https://www.instagram.com/organicomym/,,,,,,Abastecedor,Productor,Solo Entrega,"Sin agroquímicos, Orgánico","Verduras, Frutas, Elaborados",,
Argentina,Buenos Aires,Zona Oeste,"Ramos Mejia, Lomas del Mirador, Villa Luzuriaga, San Justo, Tapiales, Tablada, Morón, Castelar, Ituzingo, Haedo, Mataderos, Ciudadela, Liniers, Villa Real, Floresta, Flores",BioPandora Mercado Agroecológico,https://www.instagram.com/bio.pandora/,www.biopandora.com.ar,,,,,Abastecedor,Productor,Retiro y Entrega,"Sin agroquímicos, Orgánico, Sustentable, Demeter","Verduras, Frutas, Elaborados",,
Argentina,Buenos Aires,Zona Oeste,"Bellavista, Muñiz, San Miguel",Demeter Alimento Vital,https://www.instagram.com/demeter.alimentovital/,,,,,,Abastecedor,,Retiro y Entrega,"Sin agroquímicos, Sustentable","Elaborados, Verduras, Frutas",Certificación Demeter posible,Demeter
Argentina,Buenos Aires,Zona Oeste,"Bellavista, San Miguel",El Almacen Orgánico,https://www.instagram.com/elalmacenorganico/,,,,,,Abastecedor,,Retiro y Entrega,"Sin agroquímicos, Orgánico","Verduras, Frutas, Elaborados",,
Argentina,Buenos Aires,Zona Oeste,"Castelar, Ituzaingó, Ramos Mejía, Padua, Villa Udaondo, Haedo, San Justo",Sikkim Orgánico,https://www.instagram.com/sikkim.organico/?hl=es-la,,,,1521791201,,Abastecedor,,Solo Entrega,"Sin agroquímicos, Orgánico","Verduras, Frutas, Elaborados",,
Argentina,Buenos Aires,Zona Oeste,Ciudad Evita,En Respeto con la Naturaleza,https://www.instagram.com/enrespetoconlanaturaleza/?hl=es-la,,,,11 7369-3206,,Abastecedor,,Retiro y Entrega,"Sin agroquímicos, Sustentable","Verduras, Frutas, Elaborados",,
Argentina,Buenos Aires,Zona Oeste,De Ramos Mejía hasta Moreno,Eres lo que comes,https://www.instagram.com/almacen_eresloquecomes/,www.eresloquecomes.com.ar,,,,,Abastecedor,,Solo Entrega,Sin agroquímicos,"Verduras, Frutas, Elaborados",,
Argentina,Buenos Aires,Zona Sur,Florencio Varela,Agro Primavera,https://www.instagram.com/agroprimavera/,,,,1169346341,,Productor,Abastecedor,Retiro y Entrega,Sin agroquímicos,"Verduras, Frutas",,
Argentina,Buenos Aires,Zona Sur,Adrogué,Feria Sustentable del Sur,https://www.instagram.com/feriasustentabledelsur/,,,,,,Chef,,Retiro y Entrega,"Sin agroquímicos, Sustentable","Verduras, Frutas, Elaborados",,
Argentina,Buenos Aires,Zona Sur,Avellaneda,Chavo Pastel,https://www.instagram.com/chavopastel/,,,,,,Abastecedor,,Retiro y Entrega,Sin agroquímicos,"Elaborados, Verduras",⚠️ Revisar - podría ser Restaurante,
Argentina,Buenos Aires,Zona Sur,Almirante Brown y toda zona sur,Del Campo a la Mesa Brown,https://www.instagram.com/delcampoalamesabrown/,,,,,,Abastecedor,Productor,Solo Entrega,"Sin agroquímicos, Agroecológico","Verduras, Frutas",,
Argentina,Buenos Aires,Zona Sur,Banfield,Brota Orgánico,https://www.instagram.com/brotaorganico/,https://sites.google.com/view/brotaorganico/inicio,,,,,Productor,Abastecedor,Retiro y Entrega,"Sin agroquímicos, Orgánico","Verduras, Frutas",,
Argentina,Buenos Aires,Zona Sur,"El Pato, Berazategui",Huerta Tujillo,https://www.instagram.com/huerta_trujillo.06/,,,,,,Abastecedor,,Retiro y Entrega,"Sin agroquímicos, Agroecológico","Verduras, Frutas",,
Argentina,Buenos Aires,Zona Sur,Berazategui,Nodo de la UTT Gutierrez,https://www.instagram.com/nodo.utt.gutierrez/,,,,,,Abastecedor,,Retiro y Entrega,Sin agroquímicos,"Verduras, Frutas",⚠️ UTT - Nodo,
Argentina,Buenos Aires,Zona Sur,"Bernal, Quilmes, San Fco. Solano, Wilde, CABA",Reverdecer Ecotienda Saludable,https://www.instagram.com/reverdecer.ecotiendasaludable/,https://pency.app/reverdecer,,,,,Abastecedor,,Retiro y Entrega,"Sin agroquímicos, Sustentable","Verduras, Frutas, Elaborados",,
Argentina,Buenos Aires,Zona Sur,Ezeiza,Red Conciencia en el Sur,https://www.instagram.com/red_conciencia_enelsur/,,,,,,Abastecedor,,Retiro y Entrega,Sin agroquímicos,"Verduras, Frutas, Elaborados",,
Argentina,Buenos Aires,Zona Sur,Lomas de Zamora,El Patio de las Rosas,https://www.instagram.com/elpatiodelasrosas/,,,,,,Abastecedor,,Retiro y Entrega,Sin agroquímicos,"Verduras, Frutas, Elaborados",,
Argentina,Buenos Aires,Zona Sur,Lomas de Zamora,Verdores Almacén Vivero,https://www.instagram.com/verdores.almacen.vivero/,,,,,,Abastecedor,Productor,Retiro y Entrega,Sin agroquímicos,"Verduras, Frutas",,
Argentina,Buenos Aires,Zona Sur,"Lomas de Zamora, Lanús, Banfield, Temperley, Remedios de Escalada, Adrogué, Lavallol, Villa Turdera, Caning, Monte Grande",Sikkim Orgánico,https://www.instagram.com/sikkim.organico/?hl=es-la,,,,1556260969,,Abastecedor,,Solo Entrega,"Sin agroquímicos, Orgánico","Verduras, Frutas, Elaborados",,
Argentina,Buenos Aires,Zona Sur,"Lomas de Zamora, Adrogue, Marmol, Birzaco, Temperley",Nodo Vecinxs de Temperley - Nodo Mercado Territorial,https://www.nodovecinxsdetemperley.com.ar/,,,,,,Abastecedor,,Retiro y Entrega,Sin agroquímicos,"Verduras, Frutas, Elaborados",,
Argentina,Buenos Aires,Zona Sur,Adrogué,Nodo Tierra Nativa,https://www.instagram.com/nodotierranativa/,,,,,,Productor,,Retiro y Entrega,"Sin agroquímicos, Agroecológico","Verduras, Frutas, Elaborados",,
Argentina,Buenos Aires,Zona Sur,Rafael Calzada,Centro Demostrativo ALAS,https://www.instagram.com/centrodemostrativoalas/,,,,,,Abastecedor,,Retiro y Entrega,Sin agroquímicos,"Verduras, Frutas",⚠️ Centro demostrativo,
Argentina,Buenos Aires,Zona Sur,Quilmes,Biodemarg,https://www.instagram.com/biodemarg/?hl=es-la,,,,,,Abastecedor,,Retiro y Entrega,Sin agroquímicos,"Verduras, Frutas, Elaborados",,
Argentina,Buenos Aires,Zona Sur,"Quilmes oeste, Bernal oeste y centro",Marea Creciente - Nodo Mercado Territorial,https://www.instagram.com/nodo.mareacreciente/,,,,,,Abastecedor,,Retiro y Entrega,Sin agroquímicos,"Verduras, Frutas, Elaborados",,
Argentina,Buenos Aires,Zona Sur,Lanus Oeste,La Casita Orgánica,https://www.instagram.com/la_casitaorganica/,,,,,,Abastecedor,,Retiro y Entrega,"Sin agroquímicos, Orgánico","Verduras, Frutas, Elaborados",,
Argentina,Buenos Aires,Zona Sur,"Quilmes, Berazategui y alrededores",Buena Cosecha,https://www.instagram.com/buenacosecha_/,,,,,,Abastecedor,,Solo Entrega,"Sin agroquímicos, Agroecológico","Verduras, Frutas",,
Argentina,Buenos Aires,Zona Sur,,Paladar Divino Alimentos,https://www.instagram.com/paladardivinoalimentos/,,,,,,Abastecedor,,Retiro y Entrega,Sin agroquímicos,"Elaborados, Verduras, Frutas",,
Argentina,Buenos Aires,Zona Sur,,"La Cabaña, Agro Orgánic",https://www.instagram.com/holacanningnatural/,,,,,,Abastecedor,Productor,Retiro y Entrega,"Sin agroquímicos, Orgánico","Verduras, Frutas",,
Argentina,Buenos Aires,Zona Sur,,Mi Huerta Org,https://www.instagram.com/mihuertaorg/,,,,,,Productor,,Retiro y Entrega,"Sin agroquímicos, Agroecológico","Verduras, Frutas",,
Argentina,Buenos Aires,Zona Sur,,Bolsón Colaborativo,https://www.instagram.com/bolsoncolaborativo/,,,,,,Abastecedor,,Solo Entrega,Sin agroquímicos,"Verduras, Frutas, Elaborados",,
Argentina,Buenos Aires,Zona Sur,,Alimentos Naturales Q'umara,https://www.instagram.com/alimentosnaturalesqumara/,,https://linktr.ee/tiendanaturalqumara,,,,Abastecedor,,Retiro y Entrega,"Sin agroquímicos, Sustentable","Elaborados, Verduras, Frutas",,
Argentina,Buenos Aires,Zona Sur,,Agro Primavera,https://www.instagram.com/agroprimavera/,,,,,,Productor,Abastecedor,Retiro y Entrega,Sin agroquímicos,"Verduras, Frutas",,
Argentina,Buenos Aires,Zona Sur,,Agroecológicos MG,https://www.instagram.com/agroecologicosmg/,,,,,,Productor,Abastecedor,Retiro y Entrega,"Sin agroquímicos, Agroecológico, Sustentable","Verduras, Frutas",,
Argentina,Buenos Aires,Zona Sur,"José Marmol, Adrogue, Rafael Calzada, Burzaco, Longchamps, Turdera, Luis Guillón, Llavallol, Monte Grande, Temperley, Lomas de zamora, Banfield, Remedios de Escalada, Lanús",Organicadrogue,https://www.instagram.com/organicadrogue/,,,,,,Abastecedor,Chef,Solo Entrega,"Sin agroquímicos, Orgánico","Verduras, Frutas, Elaborados",,
Argentina,Buenos Aires,Zona Sur,,Sur Cocina y Rizoma,https://www.instagram.com/surcocinayrizoma/,,,,,,Abastecedor,Restaurante,Retiro y Entrega,Sin agroquímicos,"Elaborados, Verduras",⚠️ Revisar,
Argentina,Buenos Aires,Costa Atlántica,Chapadmalal,La Pai,https://www.instagram.com/lapai.ecoproveeduria/,,,,,Solo los VIERNES de 17 a 19 HS,Abastecedor,,Solo Retiro,Sin agroquímicos,"Verduras, Frutas, Elaborados",,
Argentina,Buenos Aires,Costa Atlántica,"Mar Chiquita, La Caleta",Casa Agua,https://www.instagram.com/la_peperia_mdc/,,,,2235264381,,Abastecedor,,Retiro y Entrega,Sin agroquímicos,"Verduras, Frutas, Elaborados",,
Argentina,Buenos Aires,Costa Atlántica,Mar del Plata,Che Verde,https://www.instagram.com/cheverde.mdp/,,,,,,Abastecedor,,Retiro y Entrega,"Sin agroquímicos, Sustentable","Verduras, Frutas, Elaborados",,
Argentina,Buenos Aires,Costa Atlántica,Mar del Plata,Cooperativa Productores Agroecológicos,https://www.instagram.com/productoresagroecologicosmdp/,,,,,,Productor,Abastecedor,Retiro y Entrega,"Sin agroquímicos, Agroecológico, Sustentable","Verduras, Frutas",,
Argentina,Buenos Aires,Costa Atlántica,Mar del Plata,De Rebrote,https://www.instagram.com/derebrote/,,,,,,Abastecedor,,Retiro y Entrega,Sin agroquímicos,"Verduras, Frutas, Elaborados",,
Argentina,Buenos Aires,Costa Atlántica,Mar del Plata,Botes Orgánicos,https://www.instagram.com/brotesorganicos/,,,,2236189548,,Abastecedor,,Retiro y Entrega,"Sin agroquímicos, Orgánico","Verduras, Frutas",,
Argentina,Buenos Aires,Costa Atlántica,Mar del Plata,Burubio Veggie,https://www.instagram.com/burubioveggie/,,,,,,Abastecedor,,Retiro y Entrega,Sin agroquímicos,"Elaborados, Verduras, Frutas",,
Argentina,Buenos Aires,Costa Atlántica,Mar del Plata,La Verdu Style,https://www.instagram.com/laverdustyle/,,,,,,Abastecedor,,Retiro y Entrega,Sin agroquímicos,"Verduras, Frutas",,
Argentina,Buenos Aires,Costa Atlántica,Mar del Plata,Campos Silvestre MDQ,https://www.instagram.com/camposilvestremdq/,,,,,,Productor,Abastecedor,Retiro y Entrega,"Sin agroquímicos, Agroecológico","Verduras, Frutas",,
Argentina,Buenos Aires,Costa Atlántica,Mar del Plata,Tu Raiz Alimentos,https://www.instagram.com/turaiz.alimentos/,http://www.turaiz.com.ar/#!/categoria/0/pagina/0/,,,,,Abastecedor,,Retiro y Entrega,Sin agroquímicos,"Verduras, Frutas, Elaborados",,
Argentina,Buenos Aires,Costa Atlántica,Mar del Plata,Feria Verde Mar del Plata,https://www.instagram.com/feriaverdemdp/,,,,,,Abastecedor,,Solo Retiro,"Sin agroquímicos, Sustentable","Verduras, Frutas, Elaborados",,
Argentina,Buenos Aires,Costa Atlántica,Mar del Plata,Estación Gourmet Almacén,https://www.instagram.com/estaciongourmetalmacen/,,,,,,Abastecedor,,Retiro y Entrega,Sin agroquímicos,"Elaborados, Verduras, Frutas",,
Argentina,Buenos Aires,Costa Atlántica,Mar del Plata,Armonía Alimentos Saludables,https://www.instagram.com/armonia.alimentos.saludables/,,,,,,Abastecedor,,Retiro y Entrega,"Sin agroquímicos, Sustentable","Elaborados, Verduras, Frutas",,
Argentina,Buenos Aires,Costa Atlántica,Mar del Plata,Huerta Los Serenos,https://www.instagram.com/huertalosserenos/,,,,,,Productor,,Retiro y Entrega,"Sin agroquímicos, Agroecológico","Verduras, Frutas",,
Argentina,Buenos Aires,Costa Atlántica,Mar del Plata,Almacen Aurelia,https://www.instagram.com/almacen.aurelia/,https://almacenaurelia.mitiendanube.com/,,,,,Abastecedor,,Retiro y Entrega,Sin agroquímicos,"Verduras, Frutas, Elaborados",,
Argentina,Buenos Aires,Costa Atlántica,"Mar del Plata, Chapadmalal",Luz en el Paraiso de Teresita,https://www.instagram.com/luzenelparaisodeteresita/,,,,,,Abastecedor,,Retiro y Entrega,Sin agroquímicos,"Elaborados, Verduras, Frutas",,
Argentina,Buenos Aires,Costa Atlántica,Miramar,Feria Verde Miramar,https://www.instagram.com/feriaverdemiramar/,,,,,,Abastecedor,,Solo Retiro,"Sin agroquímicos, Sustentable","Verduras, Frutas, Elaborados",,
Argentina,Buenos Aires,Costa Atlántica,Necochea Quequén,Viejas Raíces,https://www.instagram.com/viejas.raices/?hl=es-la,,,,,,Abastecedor,,Retiro y Entrega,Sin agroquímicos,"Verduras, Frutas, Elaborados",,
Argentina,Buenos Aires,Costa Atlántica,Santa Clara del Mar,Cheverde mdp,https://www.instagram.com/cheverdemdp/,,,,,,Abastecedor,,Retiro y Entrega,"Sin agroquímicos, Sustentable","Verduras, Frutas",,
Argentina,Buenos Aires,Provincia,Arrecifes,Almacen Orgánico Arrecifes,https://www.instagram.com/almacenorganico.arrecifes/,,,,,,Abastecedor,,Retiro y Entrega,"Sin agroquímicos, Orgánico","Verduras, Frutas, Elaborados",,
Argentina,Buenos Aires,Provincia,Bahía Blanca,La Tonantzin Fruteria,https://www.instagram.com/latonantzinfruteria/?hl=es-la,,,,,,Abastecedor,,Retiro y Entrega,Sin agroquímicos,"Frutas, Verduras, Elaborados",,
Argentina,Buenos Aires,Provincia,Berisso,Celtistala Almacén Orgánico,https://www.instagram.com/celtistala/?hl=es-la,,,,,,Abastecedor,,Retiro y Entrega,"Sin agroquímicos, Orgánico","Verduras, Frutas, Elaborados",,
Argentina,Buenos Aires,Provincia,Bragado,Chacra el Jahuel,https://www.instagram.com/chacraeljahuel/?hl=es-la,,,,,,Productor,,Retiro y Entrega,"Sin agroquímicos, Agroecológico","Verduras, Frutas",,
Argentina,Buenos Aires,Provincia,Bragado,Cultivos Catalpa,https://www.instagram.com/cultivoscatalpa/?hl=es-la,,,,,,Productor,,Retiro y Entrega,"Sin agroquímicos, Agroecológico","Verduras, Frutas",,
Argentina,Buenos Aires,Provincia,Capitan Sarmiento,Maclura Agroecología,https://www.instagram.com/maclura_agroecologia/,,,,,,Productor,Abastecedor,Retiro y Entrega,"Sin agroquímicos, Agroecológico, Sustentable","Verduras, Frutas",,
Argentina,Buenos Aires,Provincia,Exaltación de la Cruz,De la Huerta a tu Casa,https://www.instagram.com/delahuertaatucasa/,,,,,,Productor,Abastecedor,Solo Entrega,"Sin agroquímicos, Agroecológico","Verduras, Frutas",,
Argentina,Buenos Aires,Provincia,General Belgrano,La Quinta del Abuelo,https://instagram.com/laquinta.delabuelo,,,,2945417140,WhatsApp - tienen huevos,Productor,,Retiro y Entrega,Sin agroquímicos,"Verduras, Frutas, Huevos",,
